id,location,date,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand
178,Algeria,2020-01-13,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
179,Algeria,2020-01-14,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
180,Algeria,2020-01-15,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
181,Algeria,2020-01-16,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
182,Algeria,2020-01-17,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
183,Algeria,2020-01-18,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
184,Algeria,2020-01-19,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
185,Algeria,2020-01-20,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
186,Algeria,2020-01-21,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
187,Algeria,2020-01-22,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
188,Algeria,2020-01-23,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
189,Algeria,2020-01-24,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
190,Algeria,2020-01-25,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
191,Algeria,2020-01-26,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
